stable_ID	wt_1	wt_2	mut_1	mut_2
21ur-6085	41.8498255	29.3325952	47.919446	22.0097644
21ur-648	38.4556198	37.5589756	79.606374	99.3462446
21ur-6087	3.5747456	1.9527352	2.501593	5.5838622
21ur-6088	0.1444341	0.0415476	0.055591	0.1395966
21ur-6089	2.780356	2.7836928	3.391051	2.6988714
21ur-609	2.3831585	4.404046	3.446643	6.2353162
21ur-6090	3.1775485	3.2407076	5.392332	7.7708822
21ur-6091	9.5687561	9.1404706	27.73991	11.5399644
21ur-6094	9.063241	9.7636852	16.232582	14.657658
21ur-6095	50.9852026	30.8698528	60.98334	50.8597032
21ur-6096	13.4324105	12.3396812	21.458092	8.9341822
21ur-6097	1.0110391	2.9083288	0.55591	1.1167732
21ur-6098	8.8465895	13.2120906	3.224274	9.3064444
21ur-6099	0.7943875	0.747857	0.222364	0.6514512
21ur-61	1.37212	1.6203576	1.00064	1.4425
21ur-610	10.5437	5.48428	25.516273	16.4724288
21ur-6100	1.9498615	1.869638	0.778274	1.16331
21ur-6101	0.686062	0.7478568	0.500319	1.1167736
21ur-6102	0.25276	0.207738	0.333546	0.465322
21ur-6104	15.8155366	11.7579758	17.233246	27.2213442
21ur-6105	0	0.0415476	0.055591	0.0930644
21ur-6106	7.9438745	5.5258252	13.119446	11.8191614
21ur-8605	3.8636152	2.9083272	8.449833	7.7243426
21ur-6108	7.5105745	6.9384452	7.282425	5.3512022
21ur-611	3.6830741	3.9470252	5.336741	1.62863
21ur-6111	0.144434	0.124643	0.222364	0.279193
21ur-6112	0.0722171	0.16619	0.222364	0.977176
21ur-6113	6.4273185	4.65333	9.172515	11.9122644
21ur-6114	4.8385455	6.3152358	6.948872	16.2397644
21ur-6115	7.041163	7.5201094	6.67092	6.0957144
21ur-5384	9.027137	9.5559476	19.623673	23.9175554
21ur-6118	3.321983	1.6619076	4.3361	6.04919
21ur-6119	0.216651	0.2492856	0	0.0465322
21ur-612	0.6138445	0.540119	0.778274	0.651451
21ur-6121	1.0832585	0.623214	1.334181	2.93153
21ur-5366	26.5758942	27.2551804	57.647837	67.797422
21ur-6124	6.6439736	7.2708268	3.446638	11.5865254
21ur-6125	1.0110385	1.3295276	0.778274	1.95435
21ur-6126	11.4464516	12.672038	14.286846	10.0509566
21ur-6127	3.86361	3.69774	2.11246	3.07113
21ur-6129	8.12442	5.56738	6.83769	3.02459
21ur-613	0.0361085	0	0.166773	0.511854
21ur-6130	18.4514595	11.4670952	26.461273	8.1431358
